eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
79,24,54,residential,1.0,1900.0,20.0,40.189494599999996,359.316,"LINESTRING (531510.4212830432 4206431.816425798, 531535.9851755908 4206434.467021858, 531584.7229106078 4206422.128564707, 531617.5824628065 4206427.037809398, 531635.9893545313 4206448.301356501, 531657.8722434827 4206465.162432225, 531669.6050235473 4206473.274292649, 531676.8553201464 4206496.269961816, 531677.9597370619 4206512.573444528, 531676.3555565226 4206539.118610556, 531666.4828054896 4206556.244978401, 531616.6622323708 4206580.872499282, 531598.3367117314 4206584.030365208, 531579.6448322347 4206588.851171677)"
80,24,64,residential,1.0,1900.0,20.0,11.94558,106.8,"LINESTRING (531510.4212830432 4206431.816425798, 531496.1532053503 4206404.932640869, 531462.1442974615 4206372.436210621, 531450.6854497462 4206345.530043346)"
81,25,7,residential,1.0,1900.0,20.0,30.616700500000004,273.73,"LINESTRING (531549.0008867882 4206262.726662656, 531592.060537458 4206284.129721958, 531627.1719620927 4206303.937780545, 531681.4486259988 4206314.710940287, 531711.5155472576 4206315.393462921, 531738.8910402831 4206310.562302883, 531748.1917663476 4206293.899809776, 531744.9653887368 4206240.784515546)"
82,25,24,residential,1.0,1900.0,20.0,31.005491100000004,277.206,"LINESTRING (531549.0008867882 4206262.726662656, 531538.3986317979 4206264.128132678, 531509.4403887765 4206255.927821945, 531486.5943460289 4206242.724938473, 531470.6307246701 4206252.482886243, 531492.8240948579 4206291.513376604, 531503.6394450295 4206312.248058854, 531507.8910311757 4206327.576153516, 531501.2091552594 4206355.089252553, 531497.450212171 4206373.659611237, 531500.5328735203 4206393.8651882, 531510.4212830432 4206431.816425798)"
83,25,80,residential,1.0,1900.0,20.0,27.32104025,244.265,"LINESTRING (531549.0008867882 4206262.726662656, 531569.8537565636 4206241.870134991, 531597.1681324597 4206230.181284978, 531602.4006277896 4206227.938055422, 531620.7846854144 4206228.009189929, 531654.7466097679 4206184.258269336, 531687.5064088249 4206147.215563589, 531704.5195676186 4206109.202041448, 531714.1488448073 4206098.410271958)"
84,26,12,residential,1.0,1900.0,20.0,32.317267900000004,288.934,"LINESTRING (530951.308867458 4207291.971780743, 531051.8711760641 4207209.581508404, 531064.0663981659 4207209.073112285, 531066.7337485377 4207197.876861012, 531073.4648570588 4207184.554650586, 531089.1967115696 4207165.896508735, 531099.1658869267 4207152.908413865, 531113.9207241096 4207139.57241141, 531126.143126386 4207136.56773596, 531134.0097493558 4207133.990290945, 531142.3326655842 4207124.557609905, 531156.5691547968 4207118.265313319, 531167.0929627817 4207116.408145244)"
85,26,38,residential,1.0,1900.0,20.0,15.1514247,135.462,"LINESTRING (530951.308867458 4207291.971780743, 531037.0327190085 4207300.418975571, 531086.4478729652 4207304.579089161)"
86,27,14,residential,1.0,1900.0,20.0,20.702092800000003,185.088,"LINESTRING (531672.4072786624 4206801.155447482, 531700.222387708 4206759.533383103, 531710.734404517 4206742.77568379, 531718.6991188001 4206728.648821732, 531722.8088456118 4206717.04785192, 531725.28190713 4206708.680396924, 531725.8493840673 4206662.026263674, 531728.9242802494 4206641.11220256, 531732.9276680214 4206632.040586546)"
87,27,12,residential,1.0,1900.0,20.0,68.05323105000002,608.4330000000001,"LINESTRING (531672.4072786624 4206801.155447482, 531658.6254880078 4206814.460934537, 531621.6286453966 4206853.673163843, 531553.6063592969 4206906.901242255, 531526.6653495986 4206936.177946735, 531465.4307443158 4206980.179354992, 531407.5866590454 4207001.015873065, 531355.0285369101 4207046.771264959, 531337.0151963994 4207058.097152881, 531272.4767546185 4207069.022899225, 531217.399612473 4207101.19979774, 531167.0929627817 4207116.408145244)"
88,27,82,residential,1.0,1900.0,20.0,9.50803295,85.007,"LINESTRING (531672.4072786624 4206801.155447482, 531675.3632667818 4206788.218526726, 531654.031035296 4206769.950399163, 531610.5306372344 4206765.598958943)"
