eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
117,113,118,residential,1,1900.0,25.0,6.749573121453155,75.43108092817562,"LINESTRING (526090.8019606489 4195416.196072945, 526028.9802007716 4195372.894915367)"
118,113,240,residential,1,1900.0,25.0,6.443530011007093,72.01084053427685,"LINESTRING (526090.8019606489 4195416.196072945, 526149.701394494 4195457.702063409)"
119,240,113,residential,1,1900.0,25.0,6.443530011007093,72.01084053427685,"LINESTRING (526149.701394494 4195457.702063409, 526090.8019606489 4195416.196072945)"
120,240,254,residential,1,1900.0,25.0,6.5633591717835325,73.3500130954798,"LINESTRING (526149.701394494 4195457.702063409, 526209.8467606906 4195499.767224109)"
121,254,240,residential,1,1900.0,25.0,6.5633591717835325,73.3500130954798,"LINESTRING (526209.8467606906 4195499.767224109, 526149.701394494 4195457.702063409)"
122,254,85,residential,1,1900.0,25.0,6.490465829248745,72.53538030005302,"LINESTRING (526209.8467606906 4195499.767224109, 526268.2829624625 4195542.803731651)"
123,85,254,residential,1,1900.0,25.0,6.490465829248745,72.53538030005302,"LINESTRING (526268.2829624625 4195542.803731651, 526209.8467606906 4195499.767224109)"
124,85,108,residential,1,1900.0,25.0,6.73754863876371,75.2966991368318,"LINESTRING (526268.2829624625 4195542.803731651, 526329.025640642 4195587.368105868)"
125,108,85,residential,1,1900.0,25.0,6.73754863876371,75.2966991368318,"LINESTRING (526329.025640642 4195587.368105868, 526268.2829624625 4195542.803731651)"
126,108,107,residential,1,1900.0,25.0,6.332556985459045,70.77064132162545,"LINESTRING (526329.025640642 4195587.368105868, 526386.543137653 4195628.67167501)"
127,107,108,residential,1,1900.0,25.0,6.332556985459045,70.77064132162545,"LINESTRING (526386.543137653 4195628.67167501, 526329.025640642 4195587.368105868)"
128,107,106,residential,1,1900.0,25.0,6.8079811231918,76.08383016530844,"LINESTRING (526386.543137653 4195628.67167501, 526450.167966653 4195670.494635729)"
129,106,107,residential,1,1900.0,25.0,6.8079811231918,76.08383016530844,"LINESTRING (526450.167966653 4195670.494635729, 526386.543137653 4195628.67167501)"
130,98,16,residential,1,1900.0,25.0,37.12798456578791,414.9305382855153,"LINESTRING (527731.549295927 4195397.038250544, 527720.9643436719 4195394.583712268, 527708.4583289468 4195398.691038654, 527708.3039660234 4195426.151071704, 527705.6532220646 4195456.132370505, 527696.2841826587 4195468.494029489, 527693.1292815716 4195481.18734871, 527692.3804495884 4195502.476460154, 527687.4561483825 4195513.288722003, 527678.8101857218 4195525.020417984, 527675.5920979935 4195540.820180534, 527670.1648923106 4195552.185514462, 527661.5753394233 4195549.826546186, 527662.1951004743 4195530.29003323, 527670.3942873852 4195497.25407644, 527663.8248125936 4195464.168290657, 527651.0334856951 4195375.685521187, 527656.4021301398 4195360.858285776, 527668.8576965536 4195350.8702685, 527667.0544869556 4195340.756482532)"
131,23,16,residential,1,1900.0,25.0,5.984203324020531,66.8775516765817,"LINESTRING (527600.2500721372 4195335.693862719, 527639.9869096295 4195338.046741008, 527667.0544869556 4195340.756482532)"
132,16,23,residential,1,1900.0,25.0,5.984203324020531,66.8775516765817,"LINESTRING (527667.0544869556 4195340.756482532, 527639.9869096295 4195338.046741008, 527600.2500721372 4195335.693862719)"
133,34,35,residential,1,1900.0,25.0,3.725341475866175,41.63323061987232,"LINESTRING (526159.1664870814 4194552.057186631, 526182.6539528244 4194517.72608944)"
134,35,34,residential,1,1900.0,25.0,3.725341475866175,41.63323061987232,"LINESTRING (526182.6539528244 4194517.72608944, 526159.1664870814 4194552.057186631)"
135,35,36,residential,1,1900.0,25.0,9.354910337450125,104.54750041853067,"LINESTRING (526182.6539528244 4194517.72608944, 526242.818392739 4194432.330431534)"
136,36,35,residential,1,1900.0,25.0,9.354910337450125,104.54750041853067,"LINESTRING (526242.818392739 4194432.330431534, 526182.6539528244 4194517.72608944)"
137,146,161,residential,1,1900.0,25.0,8.053243146426764,90.00048219073273,"LINESTRING (526072.9821477125 4194678.200838851, 526122.5784323766 4194603.2001407)"
138,161,146,residential,1,1900.0,25.0,8.053243146426764,90.00048219073273,"LINESTRING (526122.5784323766 4194603.2001407, 526072.9821477125 4194678.200838851)"
139,115,50,residential,1,1900.0,25.0,5.7301254067828635,64.03805774232077,"LINESTRING (531415.0158114214 4194947.131185625, 531409.6775884877 4194938.401002291, 531397.6243190694 4194922.322275844, 531384.6350613083 4194909.590737449, 531371.9388163472 4194900.688186374)"
140,50,115,residential,1,1900.0,25.0,5.7301254067828635,64.03805774232077,"LINESTRING (531371.9388163472 4194900.688186374, 531384.6350613083 4194909.590737449, 531397.6243190694 4194922.322275844, 531409.6775884877 4194938.401002291, 531415.0158114214 4194947.131185625)"
141,166,169,residential,1,1900.0,25.0,3.027403781901668,33.83330109411788,"LINESTRING (530605.4837209709 4195189.784306576, 530588.4495324108 4195160.595849652)"
142,169,166,residential,1,1900.0,25.0,3.027403781901668,33.83330109411788,"LINESTRING (530588.4495324108 4195160.595849652, 530605.4837209709 4195189.784306576)"
143,212,124,residential,1,1900.0,25.0,17.306628317177346,193.4133696600061,"LINESTRING (526903.9521999137 4195034.309716504, 526792.7160812285 4195192.340044332)"
144,124,212,residential,1,1900.0,25.0,17.306628317177346,193.4133696600061,"LINESTRING (526792.7160812285 4195192.340044332, 526903.9521999137 4195034.309716504)"
