OBJECTID,Acres,PropID,UseCd,UseCdDesc,Jurisdicti,SHAPESTAre,SHAPESTLen,kmlgeometry
93596,0.19,172-091-25,11,Single-Resid. - Improved,Unincorporated,8281.744140625,387.33084419096997,"POLYGON ((38.0090441064107 -122.638248521299,38.0087449352413 -122.63849779921,38.0087448574024 -122.638497864953,38.0087438556665 -122.638498701684,38.0088016935304 -122.638607635234,38.0088027176281 -122.638609567243,38.0088383642126 -122.638676755297,38.0091396008017 -122.638442368522,38.0090451234803 -122.638250589534,38.0090441064107 -122.638248521299))"
93597,1.002,172-231-07,11,Single-Resid. - Improved,Unincorporated,43682.4990234375,883.3024373135511,"POLYGON ((38.0026338841282 -122.637105600605,38.0021991560684 -122.637039428515,38.0022045554098 -122.637256322853,38.0023739356982 -122.637762073208,38.0025610346547 -122.637843298035,38.0026988707968 -122.637979321909,38.0028883905028 -122.63727824419,38.002882626892 -122.637275253063,38.0028771258933 -122.637271699858,38.0028719227257 -122.63726762025,38.0028670574012 -122.637263037613,38.0028625749788 -122.637257987906,38.0028584965321 -122.637252511286,38.0028548665759 -122.637246654361,38.002851702758 -122.637240452299,38.0028490350805 -122.637233957069,38.0028468812455 -122.63722722028,38.0028452579975 -122.637220288184,38.0028441734458 -122.637213217893,38.0028436450378 -122.637206055679,38.0028436712019 -122.637198869036,38.0028442514467 -122.637191704608,38.0028453845138 -122.637184612571,38.0028470559013 -122.637177656047,38.0028492601176 -122.637170885979,38.0028519742126 -122.637164346584,38.0028551830938 -122.637158094747,38.0028588542985 -122.637152175744,38.0028629698043 -122.63714663349,38.0028674917729 -122.637141518881,38.0028723843013 -122.637136853544,38.0028776193025 -122.637132693545,38.002883146913 -122.637129054774,38.0028889299829 -122.637125969486,38.0028923234069 -122.637124467323,38.0026338841282 -122.637105600605))"
93598,0.412,172-282-13,11,Single-Resid. - Improved,Unincorporated,17976.9189453125,573.0460987033861,"POLYGON ((38.0048555524886 -122.64362089185,38.0049769355986 -122.643306364861,38.0045878360269 -122.642949331887,38.0044244507331 -122.643264840145,38.0046284222182 -122.643396265543,38.0046389257882 -122.643403033783,38.0046755306295 -122.643437825617,38.0048555524886 -122.64362089185))"
93599,0.313,172-221-35,11,Single-Resid. - Improved,Unincorporated,13640.0595703125,594.0392460804137,"POLYGON ((38.003991562039 -122.63869068198,38.0040090138221 -122.638774208881,38.0040019061126 -122.638884665041,38.0040891770001 -122.638902773475,38.0041969736024 -122.638923155505,38.0046086721304 -122.638962972289,38.0046817324334 -122.638765946874,38.0042637757686 -122.638726297414,38.003991562039 -122.63869068198))"
93600,0.328,172-231-20,11,Single-Resid. - Improved,Unincorporated,14295.9052734375,504.1336298347752,"POLYGON ((38.0050400856285 -122.637428235205,38.0054576398161 -122.637380450501,38.005426794486 -122.636955296347,38.0050200534791 -122.637210904359,38.0050400856285 -122.637428235205))"
93601,0.176,172-341-09,11,Single-Resid. - Improved,Unincorporated,7706.3876953125,380.24227322357774,"POLYGON ((37.9989642458807 -122.635679236417,37.9989641406708 -122.635679318693,37.9989829966329 -122.635712430548,37.9990576376352 -122.635843500351,37.9990586385751 -122.635842726321,37.9993600496347 -122.635608415242,37.999275018937 -122.635433549525,37.9989652792657 -122.635678418,37.9989642458807 -122.635679236417))"
93602,0.771,172-211-14,11,Single-Resid. - Improved,Unincorporated,33590.298828125,752.6342030918049,"POLYGON ((38.0056424532124 -122.640446144911,38.0056832650441 -122.640269742264,38.0050105372637 -122.640146044536,38.0050448187517 -122.640441977075,38.0050991320746 -122.640658887587,38.0050981009334 -122.640779089039,38.0055730360439 -122.640755683339,38.0056424532124 -122.640446144911))"
93603,0.732,172-181-31,11,Single-Resid. - Improved,Unincorporated,31891.6279296875,800.0317102382064,"POLYGON ((38.002721919108 -122.634930008001,38.0026569002714 -122.634699952334,38.0024258769421 -122.634841098572,38.0024259844549 -122.63484188195,38.0025366291907 -122.635645159024,38.0025386456336 -122.635644556439,38.0026823256041 -122.635601369906,38.0026713427719 -122.635558989956,38.002961563038 -122.635629396637,38.0028192810084 -122.635029436651,38.002721919108 -122.634930008001))"
93604,0.261,172-173-08,11,Single-Resid. - Improved,Unincorporated,11409.0869140625,436.69325918919225,"POLYGON ((38.0050223673901 -122.635336419088,38.0049062398567 -122.635528806558,38.0048865232916 -122.635563069351,38.004885750897 -122.635564408159,38.0048851767579 -122.635565262997,38.004856317111 -122.635608009791,38.005117721266 -122.635896344772,38.0051543366719 -122.635774505019,38.0051825617295 -122.635698291927,38.00522119688 -122.635609337354,38.0052454416372 -122.635560129901,38.0050223673901 -122.635336419088))"
93605,0.168,172-282-20,11,Single-Resid. - Improved,Unincorporated,7346.9736328125,385.38461933517556,"POLYGON ((38.0065893089269 -122.642732198864,38.0064471643031 -122.642338538702,38.0063157608949 -122.642420330692,38.0064799400911 -122.642887897902,38.0065893089269 -122.642732198864))"
93606,0.128,172-201-05,10,Single-Resid. - Unimproved,Unincorporated,5577.9228515625,321.78685616066787,"POLYGON ((38.0073496398897 -122.642007293204,38.0072363848633 -122.642337262601,38.0073673530357 -122.642423036983,38.0074798122542 -122.642047703504,38.0073496398897 -122.642007293204))"
93607,0.315,172-202-02,21,Multiple-Resid. - Improved,Unincorporated,13742.08203125,511.96814722256494,"POLYGON ((38.0083427373343 -122.641865323234,38.008452693028 -122.641796827067,38.0087105859396 -122.641502673882,38.0084482197182 -122.64117186866,38.0083481313668 -122.641541113221,38.0083427373343 -122.641865323234))"
