Parcel,origin_osmid,dept_time,type,destin_osmid
19205201,110382860,0,local,110397253
19103238,110461563,0,local,110397253
19310226,110443304,0,local,110397253
19003128,110441915,0,local,110397253
19115119,110392622,0,local,110397253
19220124,110372172,0,local,110397253
19006217,110398036,0,local,110397253
19218120,110392598,0,local,110397253
19307208,110393241,0,local,110397253
19223115,110459170,0,local,110397253
19215124,110392606,0,local,110397253
19020127,2366744030,0,local,110397253
19119115,110455254,0,local,110397253
19310213,110443304,0,local,110397253
19308119,2481944221,0,local,110397253
19011125,5071533356,0,local,110397253
19209132,110401284,0,local,110397253
18815080,110393217,0,local,110397253
19013231,110414480,0,local,110397253
19307513,110393241,0,local,110397253
19219113,110459170,0,local,110397253
19217226,110438785,0,local,110397253
19312139,110451170,0,local,110397253
19016109,110460422,0,local,110397253
19206224,110382863,0,local,110397253
19314117,110443304,0,local,110397253
19115117,110348621,0,local,110397253
19125114,110417195,0,local,110397253
19216202,110383610,0,local,110397253
19222224,110392598,0,local,110397253
19311111,110394015,0,local,110397253
19311302,110386925,0,local,110397253
19204236,110358680,0,local,110397253
19204246,110358680,0,local,110397253
19204134,3367883696,0,local,110397253
19208249,110383612,0,local,110397253
19307412,110351008,0,local,110397253
19315116,110386925,0,local,110397253
19204134,3367883696,0,local,110397253
18815070,3387083180,0,local,110397253
19006219,110435305,0,local,110397253
19214225,110438786,0,local,110397253
19218130,110410673,0,local,110397253
19204237,110358680,0,local,110397253
19019131,2366744030,0,local,110397253
18814069,110367728,0,local,110397253
19220131,110372172,0,local,110397253
19317204,312078495,0,local,110397253
19204248,110401288,0,local,110397253
19221219,110392602,0,local,110397253
19309204,110386918,0,local,110397253
19004240,110348323,0,local,110397253
19101137,110398027,0,local,110397253
19313227,110445895,0,local,110397253
19306101,110393241,0,local,110397253
19022223,110392632,0,local,110397253
19126121,110441845,0,local,110397253
19308136,2481944221,0,local,110397253
19110204,110412273,0,local,110397253
19114212,110348621,0,local,110397253
19014126,110421910,0,local,110397253
19120214,110417190,0,local,110397253
19008139,110348362,0,local,110397253
19125101,110388967,0,local,110397253
19222116,110410670,0,local,110397253
18814012,110437088,0,local,110397253
19313306,110421520,0,local,110397253
19008139,110348362,0,local,110397253
19216111,110383331,0,local,110397253
19209226,110383326,0,local,110397253
19310102,110443299,0,local,110397253
19313328,110429434,0,local,110397253
18817040,110382760,0,local,110397253
18814050,110367728,0,local,110397253
19302041,110382886,0,local,110397253
19223218,110460424,0,local,110397253
19219120,110392604,0,local,110397253
19225211,110457890,0,local,110397253
19109125,110412273,0,local,110397253
19216230,110383610,0,local,110397253
19204235,110401288,0,local,110397253
19216228,110392604,0,local,110397253
19221212,110392602,0,local,110397253
19307510,110393241,0,local,110397253
19210226,110401282,0,local,110397253
19310222,110443301,0,local,110397253
19128124,110407258,0,local,110397253
19310216,110443304,0,local,110397253
19015202,110435310,0,local,110397253
19218213,110392598,0,local,110397253
19308137,2481944221,0,local,110397253
19112114,110450444,0,local,110397253
19215234,110438784,0,local,110397253
19529015,110393217,0,local,110397253
19124127,110450446,0,local,110397253
